FEN,Evaluation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0
7r/1rnbk3/3p1pn1/2pP2p1/2P1P1P1/3N1K1p/R3B2P/3N2R1 b - - 0 58,-44
8/4p3/5kpp/3Ppp2/3rP1PP/4RP2/6K1/8 b - - 0 39,0
5R2/2R3p1/2p1p1pk/8/6P1/2P3P1/r3rPK1/8 b - - 7 46,+36
r1bqk2r/4ppbp/p3P1p1/1PpPn3/6n1/2N2N2/PP4PP/R1BQKB1R w KQkq - 1 12,+18
2kr1b1r/ppq2pp1/1n2pn1p/B1p4P/3P4/5NN1/PPP1QPP1/1K1RR3 b - - 1 16,+34
r2br1k1/pp3ppp/n7/1N1pN3/3Pn3/P3B3/1P3PPP/2R2RK1 b - - 0 17,+44
r2q1rk1/bpp3pp/p2p4/n7/3p2n1/1NP2N2/PPQ1RPPP/R1B3K1 b - - 0 15,+16
r5k1/pp2qpp1/2n2b1p/3p3P/4N1P1/2P2N2/PP2QP2/1K5R w - - 0 22,+35
3r2k1/pbq2ppp/2p1pn2/8/N1B5/1P2P3/P3QPPP/3R2K1 b - - 0 21,+31
r1b1k2r/2qp1ppp/p1N1pn2/1p6/1b2P3/2N2P2/PPP1B1PP/R1BQ1R1K b kq - 0 10,-29
r1bq1rk1/1p2bpp1/p1nppn1p/8/4P3/2N1BN2/PPPQBPPP/3R1RK1 b - - 5 11,-30
2r5/1R2kpp1/2P4p/2p5/8/6P1/P4P1P/5K2 b - - 5 30,0
3r1r1k/7p/2p5/1p2R3/2p2P2/2P3P1/7P/5RK1 w - - 0 29,0
3rr1k1/ppqn1pbp/2p3p1/3Pp2n/2P1N3/1Q3N2/PP1B1PPP/3RR1K1 b - - 0 16,0
r2qkb1r/pp3ppp/2n1pn2/3pN3/3P4/2P5/PP2bPPP/RNBQ1RK1 w kq - 0 9,+30
8/5pkp/b5p1/2R5/2nr4/P3NPP1/6BP/6K1 w - - 2 31,+46
r1bq1r1k/pp2n1b1/4P1pp/P2p1p2/Q3p3/2N2PP1/1P2P1BP/R1B2RK1 w - - 0 18,+50
5qk1/5p1p/4b1p1/5p2/1p1B4/6QP/1Pr2PP1/4R1K1 b - - 2 31,+45
r1bq1rk1/ppp2ppp/5n2/n1bPp1N1/2B5/8/PPPP1PPP/RNBQ1R1K w - - 1 8,+37
2r1q1k1/p3r2p/4N1pQ/3n1p1P/1P6/P7/5PP1/B3R1K1 b - - 0 27,0
r3r1k1/pp1b3p/4p1p1/3qp3/2p5/1P2Q1PB/P1PP3P/2KRR3 b - - 1 20,+13
r1br4/p1R1bk1p/4ppp1/3p4/3P4/4BN2/PP3PPP/R5K1 w - - 2 18,0
4b3/R4p1k/3p1q2/1ppPn2p/1n2P3/6QP/1P3NK1/5B2 b - - 5 33,+44
r3k2r/1pq2pp1/p1nbpn2/3p2p1/N2P4/4P2P/PP1BBPP1/R2Q1RK1 w kq - 2 14,0
8/4p3/7p/5Pp1/b4kP1/3B3P/5K2/8 w - - 0 53,-13
4r1k1/1pp2pp1/1pq2n1p/4pP2/P7/1PPR3P/2B1QPP1/6K1 w - - 3 27,+30
2rq1rk1/5pp1/2bp1n1p/8/1p1NP3/1Q5P/1P1N1PP1/R3R1K1 b - - 1 21,+26
8/6k1/2R4p/r4p2/P4K2/4P3/8/8 w - - 4 48,0
4r1k1/1p1r1q1p/2pp2pP/p5P1/2P2P2/1P1Q4/P7/3R1RK1 b - - 2 32,0
2r3k1/4pp1p/3p2p1/1R6/P7/2r3P1/4PP1P/5RK1 w - - 0 33,+46
r1bq1r2/pp4bk/3p1nn1/3Pp1pp/4Pp2/1QN2PP1/PP1B1NBP/2R2RK1 w - - 0 19,0
8/1p2k3/2p3R1/p1n1Pr1p/PnB5/2N3P1/1P2K2P/8 b - - 0 41,0
8/6p1/6p1/2nk4/p4P1P/2B1nP2/2P5/2K4B b - - 0 52,-33
6k1/2N1n3/3p2p1/2p2p2/1p2PPP1/1P3K2/P7/8 b - - 0 33,0
rnbqkbnr/pppp1p1p/4p1p1/8/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq - 1 3,+38
3qk1r1/p1r1np2/1pp1p2p/6p1/2PPQ3/B5P1/PP2RP2/4R1K1 b - - 5 28,+13
r2rb1k1/pp4p1/2pNpp1p/2P4q/1P1P4/5QP1/P2R1PK1/3R4 b - - 1 28,-26
1r4k1/5pp1/1bQ1p2p/p2nq3/1p1N4/4P1P1/PP2NP1P/2R3K1 w - - 6 27,-19
r1bq1rk1/pp1pnpbp/2n1p1p1/6B1/2P1P3/1NN5/PP2BPPP/R2QK2R b KQ - 4 9,-35
r1bq1rk1/5pp1/p1pb1n1p/3p4/3P4/2N5/PP1BBPPP/2RQ1RK1 w - - 2 14,0
2n5/p6p/1pN1kPp1/3p4/3P4/P7/1P2KPP1/8 b - - 0 32,-9
5k2/p5p1/3p1p1p/8/n1pB4/P2bKP2/BP4PP/8 b - - 1 31,-45
8/8/2p2b2/1p6/4k2p/PP3N2/4K1P1/8 b - - 3 47,-13
8/2R2bk1/2B5/4P3/8/p7/5PK1/r7 b - - 11 63,0
8/7p/3p2p1/2bBpk2/7P/5PP1/4K3/8 b - - 4 59,-25
r2qk2r/pp1bppbp/5np1/3P4/2B5/2N1B3/PP3PPP/2RQ1RK1 b kq - 2 14,+15
r2qk2r/1b1nbppp/p2p4/3Pp3/1p4P1/7P/PPP1NPB1/R1BQK2R w KQkq - 1 13,+31
8/4kbQ1/3p2p1/2b2p2/7P/6P1/p6K/8 b - - 2 48,0
1r3rk1/4qpbp/3pb1p1/n1p5/1p6/1P4P1/PBQ1PPBP/R2N1RK1 w - - 2 18,+37
r2qkb1r/1p3p1p/1np1pnb1/p3N2p/P2PP3/2NBB3/1P3PP1/R2QK2R b KQkq - 1 13,+24
2Q3k1/r1p3p1/1p1p3p/p3p3/q3P3/2P4P/1P3PP1/3Rn1K1 b - - 1 25,-48
2q1r1k1/p3bn1p/r1p3p1/4pb2/Q1P1N3/7P/P2BPPBK/2R2R2 w - - 6 34,-39
r2q1rk1/1p2ppbp/p1n3p1/2P5/3Pb3/P4N1P/1P3PP1/R1BQR1K1 w - - 0 15,+13
5rk1/3R1p2/p4Rp1/8/r3P3/8/P5PP/6K1 w - - 3 27,+13
8/5pp1/1rp1k3/2R5/2PpKPP1/8/8/8 w - - 4 46,+43
3rr2k/bppq1ppb/p1n4p/P2np3/1PB1N3/2PP1N2/3BQPPP/3RR1K1 w - - 10 19,-45
1r3r1k/p1p1n1pp/bq3p2/n2Pp3/1pp1P3/1PP1NNPP/P1B2P2/1K1RQ2R w - - 1 23,-38
r4b2/pp1k1p2/3p2r1/7p/3N4/2N3Pb/PPP4P/1K1RR3 b - - 3 19,0
r2qk2r/pp1nbppp/2p1pn2/7b/2BP4/2N1PN1P/PP2QPP1/R1BR2K1 b kq - 4 10,+35
r3r1k1/p1p1b1pp/1p2pp2/2PbP3/1P1P4/2BB4/P2R1RPP/6K1 w - - 0 24,-14
r2qr1k1/pbpn1ppp/1p1B4/3p4/Q2Pn3/P1N2NP1/1P2PPBP/R4RK1 b - - 0 14,+2
r2q1rk1/pp2ppbp/1n4p1/2nP2B1/8/1BN2Q1P/PP3PP1/R4RK1 b - - 4 14,-9
r2q1rk1/pp5p/2pbpnp1/4Np2/3P4/1P2P2R/PBP1Q1PP/3R2K1 w - - 0 16,-46
7r/1p2bkp1/p1r1pn1p/8/3R4/2N3B1/PP3PPP/1K1R4 w - - 2 20,+18
4r1k1/1p1R1rbp/1N4p1/1P3p2/4p3/1P5P/1P3PP1/3R2K1 b - - 3 31,+8
1r2n1k1/2q2r1p/p2p4/2pPbp2/N1P5/4B1P1/P3Q1KP/1R3R2 w - - 4 25,+50
r1b2rk1/2p1qppp/1p2p3/PBnpn3/8/B3PP2/P1P1Q1PP/RN3RK1 w - - 1 16,-23
q1r1rbk1/3n1ppp/2bpp3/1Q6/4P3/1P3PP1/PBNR2BP/3R2K1 w - - 1 28,0
r1bq1rk1/pp3ppp/2n2b2/3p4/3P4/2N2N2/PPBQ1PPP/R3R1K1 b - - 1 14,-43
r3rbk1/ppp2pp1/2npq2p/P3p3/2P1P3/4NN2/1PP2PPP/R2QR1K1 b - - 0 14,-25
rn2kb1r/ppq2ppp/2p1pn2/3pN2b/2PP4/1QNBP3/PP3PPP/R1B1K2R b KQkq - 5 8,+15
2b2k2/p4pp1/1p1p1n1p/3Pp3/4P3/P5P1/1PBN1P1P/6K1 b - - 0 24,-25
8/4pk1p/1p4p1/1P3p2/2Pr4/8/4KPPP/2R5 w - - 2 29,0
r3k1nr/ppp2pp1/2npB1q1/2b3N1/4P2P/1QP5/P2N1PP1/R3K2R b KQkq - 0 12,0
1rb2rk1/q3p1bp/pN1p2p1/PnpP1P2/8/8/1P2BPPP/R1BQ1RK1 b - - 0 18,0
r1b2rk1/4qppp/p1n1p3/1p1pP3/n4P2/1NBB4/PPP3PP/1K1RQR2 b - - 0 17,+6
r1b2rk1/pp1Nq1pp/2p1p3/1nPp1p2/3P4/6P1/PPQNPPBP/R4RK1 b - - 0 14,+42
r4rk1/pp3p2/1b2bBp1/4N2q/3PpQ2/7p/PP3P1K/R5R1 b - - 3 27,+47
r3kb1r/pp1nppp1/3q2bp/3p4/3P1N1P/2P3N1/PP3PP1/R1BQ1RK1 b kq - 0 12,0
r3k2r/1p1nbppp/1pp1pn2/3p4/2PP2b1/1PN1PN2/P2BBPPP/R3K2R b KQkq - 0 10,-41
qr6/3nppk1/r2p1bpp/2pP4/4P3/1PN2NP1/P2QRPKP/2R5 b - - 0 18,+13
r1b2rk1/ppp2ppp/2np2q1/4p3/2B1P1n1/2PP1N2/PP4PP/R1BQ2KR w - - 2 11,-33
r2qkb1r/pp1b1ppp/2n1pn2/2pp4/3P4/1P1BPN2/P1PN1PPP/R1BQ1RK1 b kq - 4 7,+40
r2q1rk1/1p1bbppp/p1nppn2/1Bp5/4PP2/1PNP1N2/PBP3PP/R2Q1RK1 w - - 0 10,-4
2r5/6pk/6bp/p1NBp3/8/1P4PP/P7/4R1K1 b - - 0 44,+46
8/R5bk/6p1/7p/8/8/6KP/8 w - - 0 48,+32
3rqr1k/p3b1pp/2b5/2ppPpn1/8/P3PPP1/QB1N2BP/2RR2K1 w - - 1 22,0
3b4/nr3ppp/p1k1p3/1Pp1P3/2P1KPP1/N3P3/1R5P/4B3 b - - 0 37,0
7r/7p/5R2/2kp4/8/5P2/PP3r2/1K2R3 b - - 0 27,0
1r6/5k2/p6p/3p4/P2p4/1P3P2/6PP/4K2R w K - 0 27,+13
r2q1rk1/pp2bppp/2n1bn2/3p4/8/2N1BNP1/PPQ1PPBP/R2R2K1 b - - 7 12,+23
6k1/p2q1pp1/1prb3p/3p4/3P1B2/P4P2/1P1Q2PP/2R3K1 b - - 1 23,-42
r1b2r1k/1pp3pp/p4q1n/n3p3/4Pp2/1BP2N1P/PP1R1PPN/R2Q2K1 w - - 4 19,+22
8/2k5/8/4N3/2KR4/7r/8/8 w - - 109 142,0
4r3/1R6/3B1p2/p1P3p1/1pk1P3/2b2KP1/P7/8 w - - 1 41,0
3r4/1p3qpk/2p2bpp/8/p1P1B3/P7/1PQ2PPP/4R1K1 w - - 2 28,+40
r2q1rk1/3nbppp/bpp1p3/p2p4/2PP1B2/2P2NP1/PQ2PPBP/1R3RK1 w - - 4 17,0
3r1k1r/pp1nb1pn/2p1q3/8/2PP1B2/5N2/PP3PPP/R3R1K1 w - - 0 18,-45
3b4/1p6/p3n3/6pk/4Np2/BP3P1P/P4PK1/8 b - - 15 48,0
3rr1k1/ppqn1ppp/2nR4/2p1P1NQ/1p3P2/6P1/P4RBP/6K1 b - - 8 22,0
